dpt,region
22,BRITTANY
29,BRITTANY
35,BRITTANY
56,BRITTANY
75,PARIS
02,NORTH
04,PACA
05,PACA
06,PACA
13,PACA
59,NORTH
60,NORTH
62,NORTH
77,PARIS
78,PARIS
80,NORTH
83,PACA
84,PACA
91,PARIS
92,PARIS
93,PARIS
94,PARIS
95,PARIS
98,PARIS
