km_lower_range,km_upper_range,km_bracket
-1,1000,"[0, 1k]"
1000,20000,"]1k, 20k]"
20000,50000,"]20k, 50k]"
50000,100000,"]50k, 100k]"
100000,150000,"]100k, 150k]"
